10001,15.5,2.5,14:03:00,8
10001,13.5,3.5,14:03:16,243
10001,8.5,5.5,14:08:48,6361
10001,7.5,9.5,15:55:32,857
10001,4.5,10.5,16:10:32,287
10001,3.5,8.5,16:15:31,608
10001,30.5,11.5,16:27:32,16
10001,14.5,10.5,16:34:19,16
10001,9.5,3.5,16:37:07,2692
10001,15.5,17.5,17:24:55,7
10003,15.5,2.5,9:04:00,8
10003,13.5,4.5,9:04:24,305
10003,10.5,22.5,9:12:17,1952
10003,30.5,11.5,9:47:24,16
10003,14.5,10.5,9:53:06,16
10003,7.5,26.5,9:56:54,2075
10003,11.5,15.5,10:36:59,820
10003,9.5,24.5,10:55:19,5070
10003,15.5,5.5,12:26:42,7
10012,13.5,0.5,8:23:50,9
10012,13.5,5.5,8:24:36,213
10012,8.5,26.5,8:32:13,1886
10012,10.5,20.5,9:06:55,2474
10012,8.5,21.5,9:49:11,2608
10012,14.5,28.5,10:37:36,283
10012,7.5,26.5,11:00:57,4462
10012,15.5,15.5,12:18:51,7
10014,15.5,4.5,8:02:10,8
10014,13.5,3.5,8:02:25,404
10014,4.5,11.5,8:11:12,257
10014,7.5,17.5,8:18:59,670
10014,9.5,23.5,8:35:16,1523
10014,6.5,21.5,9:01:54,2465
10014,14.5,28.5,9:47:47,302
10014,9.5,22.5,9:54:23,2046
10014,30.5,11.5,10:31:33,16
10014,14.5,10.5,10:34:10,16
10014,15.5,22.5,10:37:53,466
10014,5.5,21.5,10:53:15,4284
10014,30.5,11.5,12:08:36,16
10014,25.5,4.5,12:10:06,343
10014,14.5,10.5,12:17:37,16
10014,15.5,5.5,12:18:50,7
10015,15.5,2.5,8:17:30,8
10015,13.5,3.5,8:17:47,362
10015,30.5,11.5,8:25:23,16
10015,14.5,10.5,8:31:14,16
10015,9.5,21.5,8:35:40,1349
10015,9.5,24.5,9:02:44,2595
10015,5.5,20.5,9:48:16,2663
10015,5.5,22.5,11:08:24,4375
10015,30.5,11.5,12:30:17,16
10015,24.5,2.5,12:33:34,635
10015,31.5,3.5,12:49:54,4445
10015,14.5,10.5,14:04:56,16
10015,9.5,2.5,14:07:26,5803
10015,7.5,8.5,15:48:15,684
10015,30.5,11.5,16:01:15,16
10015,21.5,11.5,16:02:50,189
10015,30.5,3.5,16:07:58,451
10015,14.5,10.5,16:18:31,16
10015,9.5,10.5,16:21:46,233
10015,8.5,5.5,16:32:17,2812
10015,15.5,15.5,17:22:35,7
10018,13.5,0.5,10:32:30,9
10018,13.5,3.5,10:32:55,204
10018,9.5,18.5,10:40:57,582
10018,6.5,21.5,10:55:44,4555
10018,30.5,11.5,12:15:18,16
10018,14.5,10.5,12:21:46,16
10018,15.5,5.5,12:23:21,7
10019,15.5,7.5,8:23:50,8
10019,11.5,10.5,8:24:29,340
10019,4.5,21.5,8:34:13,1676
10019,4.5,20.5,9:02:09,2360
10019,17.5,11.5,9:42:59,16
10019,1.5,10.5,9:46:27,16
10019,4.5,20.5,9:48:08,2431
10019,14.5,23.5,10:38:24,485
10019,4.5,26.5,11:04:14,3705
10019,17.5,11.5,12:09:14,16
10019,25.5,2.5,12:11:02,1427
10019,1.5,10.5,12:37:26,16
10019,2.5,6.5,12:45:57,382
