9
0 10 11 6 7 12 13 14 15
16 1 40 135 6 136 7 137 15
0 17 60 180 181 182 183 140 23
0 273 274 275 276 277 109 278 23
16 66 172 21 83 323 6 7 23
47 361 362 219 51 52 145 363 65
16 1 387 388 25 178 61 389 23
24 66 428 429 430 91 431 432 23
16 1 457 417 169 101 458 459 9
0 10 210 230 274 491 6 7 9
16 17 109 492 493 494 102 288 9
16 17 187 521 6 522 7 523 9
0 66 477 158 537 68 359 22 23
0 1 565 429 89 183 158 566 23
0 10 598 82 102 270 599 475 9
0 10 25 480 390 435 614 486 9
16 66 559 69 143 6 7 104 23
16 66 703 458 704 6 705 7 23
16 66 760 210 119 359 549 761 23
16 764 83 765 766 183 83 767 15
0 66 454 6 7 43 608 206 9
16 66 321 231 680 6 777 7 15
24 1 837 838 403 216 394 839 9
0 66 612 268 848 210 196 585 23
0 1 964 60 276 453 605 253 23
0 927 478 537 990 411 848 91 23
0 1 225 196 116 6 885 7 23
24 66 180 949 168 358 21 613 23
0 66 657 915 1036 187 165 505 23
0 17 84 152 244 6 7 437 9
0 1 538 1041 19 710 542 364 23
0 17 193 4 1103 62 370 597 15
0 66 180 1105 4 276 512 676 15
0 10 1071 499 83 501 216 1121 15
24 6 7 1128 6 343 7 1129 23
16 1 683 6 167 7 1103 906 23
24 66 133 614 203 274 6 7 9
16 396 624 255 201 83 205 1148 15
24 6 7 1190 6 1191 7 1192 23
24 66 1193 321 84 359 986 459 9
24 66 986 255 6 1206 7 901 23
0 1 4 6 1207 7 1208 540 9
0 1 139 6 1211 7 204 540 23
47 727 51 74 52 50 154 363 65
0 17 1213 1082 302 239 270 211 23
0 17 702 490 1199 6 939 7 23
16 66 1289 429 316 359 91 507 23
0 1 311 1298 1299 6 983 7 23
0 6 1084 1308 1258 130 1309 7 23
24 17 158 1078 537 478 85 641 23
16 1 916 710 451 576 6 7 9
16 66 670 300 703 287 5 944 23
47 738 403 1340 221 646 976 1341 65
16 17 1364 315 535 45 255 451 15
0 1 145 244 35 6 366 7 9
16 62 1209 197 187 6 7 275 23
0 1 182 493 803 971 83 437 9
0 17 447 1388 164 276 164 237 23
16 1 101 83 269 359 45 611 15
0 10 695 964 403 216 4 148 15
0 17 198 497 21 6 786 7 9
47 1033 1076 649 649 349 40 1167 65
0 10 113 1416 6 7 405 662 15
24 1 398 6 7 267 986 194 23
16 66 916 560 194 6 7 1199 9
0 66 1426 560 102 270 83 121 9
24 1 145 264 865 216 91 608 23
24 6 7 1429 6 379 7 83 15
16 10 197 887 453 194 197 109 9
16 66 299 166 140 1400 1466 540 9
24 10 643 898 113 63 21 1469 9
24 10 6 7 178 541 336 638 23
0 66 721 357 496 478 83 323 9
16 10 549 1105 6 1488 7 608 15
